108年11月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/11/01,"126,495,985","10,516,290,118",81.40,84.80,80.90,84.80,+4.20,"54,653"
108/11/04,"157,046,158","13,788,215,938",86.10,89.10,86.10,89.00,+4.20,"69,524"
108/11/05,"114,554,576","10,282,369,664",90.00,90.40,89.10,90.00,+1.00,"49,127"
108/11/06,"102,692,823","9,247,509,770",90.50,90.90,88.90,90.40,+0.40,"43,449"
108/11/07,"91,907,245","8,308,738,401",90.40,91.00,89.80,90.80,+0.40,"36,793"
108/11/08,"107,939,604","9,898,925,887",91.20,92.90,90.90,90.90,+0.10,"48,100"
108/11/11,"113,464,283","10,036,725,149",91.00,91.30,86.70,87.90,-3.00,"47,982"
108/11/12,"87,919,854","7,892,657,442",89.10,91.00,88.70,91.00,+3.10,"37,303"
108/11/13,"53,336,137","4,788,176,972",90.00,90.60,89.20,89.70,-1.30,"23,412"
108/11/14,"89,212,854","8,050,458,022",91.40,91.40,89.30,89.30,-0.40,"30,500"
108/11/15,"43,552,570","3,928,041,685",90.70,90.80,89.80,90.10,+0.80,"18,749"
108/11/18,"35,921,688","3,244,631,720",90.10,90.70,89.90,90.50,+0.40,"14,611"
108/11/19,"109,575,561","10,092,721,829",90.50,92.80,90.30,92.80,+2.30,"47,352"
108/11/20,"44,527,871","4,089,310,578",92.80,92.80,91.20,91.90,-0.90,"20,426"
108/11/21,"52,752,786","4,825,030,164",91.20,92.50,90.70,92.50,+0.60,"20,606"
108/11/22,"30,090,529","2,765,280,631",93.00,93.00,91.30,91.40,-1.10,"15,802"
108/11/25,"56,144,076","5,046,637,379",91.60,91.60,89.00,89.60,-1.80,"24,137"
108/11/26,"74,419,119","6,692,787,107",90.40,90.40,89.40,89.90,+0.30,"14,304"
108/11/27,"21,007,877","1,895,290,466",89.60,90.80,89.60,90.60,+0.70,"10,282"
108/11/28,"19,363,801","1,748,262,807",90.60,90.70,89.70,89.80,-0.80,"9,626"
108/11/29,"37,756,546","3,364,546,289",90.00,90.50,88.20,88.50,-1.30,"16,445"
