,date,stock_id,dividend_yield,PER,PBR
0,2019-01-02,2317,2.85,7.04,0.84
1,2019-01-03,2317,2.9,6.92,0.83
2,2019-01-04,2317,2.96,6.79,0.81
3,2019-01-07,2317,2.89,6.96,0.83
4,2019-01-08,2317,2.92,6.89,0.83
5,2019-01-09,2317,2.86,7.02,0.84
6,2019-01-10,2317,2.89,6.96,0.83
7,2019-01-11,2317,2.88,6.97,0.84
8,2019-01-14,2317,2.91,6.9,0.83
9,2019-01-15,2317,2.84,7.06,0.85
10,2019-01-17,2317,2.84,7.07,0.85
11,2019-01-18,2317,2.82,7.11,0.85
12,2019-01-21,2317,2.81,7.15,0.86
13,2019-01-22,2317,2.83,7.1,0.85
14,2019-01-24,2317,2.86,7.03,0.84
15,2019-01-25,2317,2.83,7.1,0.85
16,2019-01-28,2317,2.82,7.11,0.85
17,2019-01-29,2317,2.86,7.02,0.84
18,2019-02-11,2317,2.86,7.02,0.84
19,2019-02-12,2317,2.78,7.23,0.87
20,2019-02-13,2317,2.78,7.23,0.87
21,2019-02-14,2317,2.8,7.17,0.86
22,2019-02-18,2317,2.82,7.13,0.86
23,2019-02-19,2317,2.78,7.23,0.87
24,2019-02-20,2317,2.73,7.35,0.88
25,2019-02-21,2317,2.71,7.41,0.89
26,2019-02-25,2317,2.72,7.37,0.88
27,2019-02-26,2317,2.75,7.31,0.88
28,2019-02-27,2317,2.75,7.3,0.88
29,2019-03-04,2317,2.77,7.25,0.87
30,2019-03-06,2317,2.76,7.28,0.87
31,2019-03-07,2317,2.79,7.19,0.86
32,2019-03-08,2317,2.83,7.1,0.85
33,2019-03-11,2317,2.84,7.07,0.85
34,2019-03-12,2317,2.81,7.15,0.86
35,2019-03-13,2317,2.83,7.1,0.85
36,2019-03-14,2317,2.81,7.14,0.86
37,2019-03-15,2317,2.83,7.09,0.85
38,2019-03-18,2317,2.78,7.23,0.87
39,2019-03-19,2317,2.77,7.26,0.87
40,2019-03-20,2317,2.76,7.27,0.87
41,2019-03-21,2317,2.74,7.33,0.88
42,2019-03-22,2317,2.74,7.33,0.88
43,2019-03-25,2317,2.81,7.15,0.86
44,2019-03-26,2317,2.79,7.21,0.86
45,2019-03-27,2317,2.78,7.22,0.87
