,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2019-01-02,2317,16775306,1182131473,71.4,71.4,69.9,70.1,-0.7,7968.0
1,2019-01-03,2317,36659461,2526323765,69.0,69.4,68.5,68.9,-1.2,17345.0
2,2019-01-04,2317,37313571,2520135828,68.2,68.2,67.0,67.6,-1.3,18110.0
3,2019-01-07,2317,24084557,1661796863,68.7,69.4,68.3,69.3,1.7,11167.0
4,2019-01-08,2317,18303188,1258685500,69.6,69.6,68.2,68.6,-0.7,8027.0
5,2019-01-09,2317,31946504,2226173028,68.9,70.2,68.8,69.9,1.3,12390.0
6,2019-01-10,2317,19041006,1318925953,69.8,69.8,68.9,69.3,-0.6,6868.0
7,2019-01-11,2317,23895923,1666289347,69.8,70.2,69.4,69.4,0.1,8299.0
8,2019-01-14,2317,14186528,978121932,69.3,69.7,68.6,68.7,-0.7,5838.0
9,2019-01-15,2317,34095247,2391707840,69.5,70.6,69.5,70.3,1.6,13090.0
10,2019-01-16,2317,16978789,1190557739,69.8,70.5,69.8,70.2,-0.1,7213.0
11,2019-01-17,2317,14229333,1001981116,70.7,70.9,70.0,70.4,0.2,6079.0
12,2019-01-18,2317,13989609,987788089,70.5,70.8,70.3,70.8,0.4,5758.0
13,2019-01-21,2317,13812012,982801352,71.3,71.4,70.9,71.2,0.4,6076.0
14,2019-01-22,2317,9804658,692841394,71.2,71.2,70.3,70.7,-0.5,4294.0
15,2019-01-23,2317,14218510,995321209,70.5,70.5,69.6,69.7,-1.0,6712.0
16,2019-01-24,2317,21008129,1467646630,69.5,70.1,69.5,70.0,0.3,6872.0
17,2019-01-25,2317,37127222,2619546538,70.2,70.9,70.2,70.7,0.7,9069.0
18,2019-01-28,2317,25776596,1824318059,70.8,71.0,70.6,70.8,0.1,6705.0
19,2019-01-29,2317,25436535,1781646390,69.9,70.6,69.8,69.9,-0.9,7599.0
20,2019-01-30,2317,32866799,2303214538,69.9,70.5,69.8,70.0,0.1,7053.0
